"REF_DATE","GEO","DGUID","Housing estimates","Type of unit","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2006-09","Canada","2016A000011124","Housing starts","Total units","Units","300","units","0","v15817891","1.1.1","13474","","","","0"
"2006-10","Canada","2016A000011124","Housing starts","Total units","Units","300","units","0","v15817891","1.1.1","15792","","","","0"
"2006-11","Canada","2016A000011124","Housing starts","Total units","Units","300","units","0","v15817891","1.1.1","16207","","","","0"
"2006-12","Canada","2016A000011124","Housing starts","Total units","Units","300","units","0","v15817891","1.1.1","12741","","","","0"
"2007-01","Canada","2016A000011124","Housing starts","Total units","Units","300","units","0","v15817891","1.1.1","12359","","","","0"
"2007-02","Canada","2016A000011124","Housing starts","Total units","Units","300","units","0","v15817891","1.1.1","8752","","","","0"
"2007-03","Canada","2016A000011124","Housing starts","Total units","Units","300","units","0","v15817891","1.1.1","11496","","","","0"
"2007-04","Canada","2016A000011124","Housing starts","Total units","Units","300","units","0","v15817891","1.1.1","15646","","","","0"
"2007-05","Canada","2016A000011124","Housing starts","Total units","Units","300","units","0","v15817891","1.1.1","17713","","","","0"
"2007-06","Canada","2016A000011124","Housing starts","Total units","Units","300","units","0","v15817891","1.1.1","16748","","","","0"
"2007-07","Canada","2016A000011124","Housing starts","Total units","Units","300","units","0","v15817891","1.1.1","15803","","","","0"
"2007-08","Canada","2016A000011124","Housing starts","Total units","Units","300","units","0","v15817891","1.1.1","15780","","","","0"
"2007-09","Canada","2016A000011124","Housing starts","Total units","Units","300","units","0","v15817891","1.1.1","20298","","","","0"
"2007-10","Canada","2016A000011124","Housing starts","Total units","Units","300","units","0","v15817891","1.1.1","15884","","","","0"
"2007-11","Canada","2016A000011124","Housing starts","Total units","Units","300","units","0","v15817891","1.1.1","16166","","","","0"
"2007-12","Canada","2016A000011124","Housing starts","Total units","Units","300","units","0","v15817891","1.1.1","9762","","","","0"
"2008-01","Canada","2016A000011124","Housing starts","Total units","Units","300","units","0","v15817891","1.1.1","11311","","","","0"
