"REF_DATE","GEO","DGUID","North American Industry Classification System (NAICS)","Adjustments","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2002-05","Canada","2016A000011124","Retail trade [44-45]","Seasonally adjusted","Dollars","81","thousands","3","v52367097","1.1.2","26165998","","","","0"
"2002-06","Canada","2016A000011124","Retail trade [44-45]","Seasonally adjusted","Dollars","81","thousands","3","v52367097","1.1.2","26768924","","","","0"
"2002-07","Canada","2016A000011124","Retail trade [44-45]","Seasonally adjusted","Dollars","81","thousands","3","v52367097","1.1.2","26620588","","","","0"
"2002-08","Canada","2016A000011124","Retail trade [44-45]","Seasonally adjusted","Dollars","81","thousands","3","v52367097","1.1.2","26767279","","","","0"
"2002-09","Canada","2016A000011124","Retail trade [44-45]","Seasonally adjusted","Dollars","81","thousands","3","v52367097","1.1.2","26620259","","","","0"
"2002-10","Canada","2016A000011124","Retail trade [44-45]","Seasonally adjusted","Dollars","81","thousands","3","v52367097","1.1.2","27061844","","","","0"
"2002-11","Canada","2016A000011124","Retail trade [44-45]","Seasonally adjusted","Dollars","81","thousands","3","v52367097","1.1.2","27015215","","","","0"
"2002-12","Canada","2016A000011124","Retail trade [44-45]","Seasonally adjusted","Dollars","81","thousands","3","v52367097","1.1.2","27172388","","","","0"
"2003-01","Canada","2016A000011124","Retail trade [44-45]","Seasonally adjusted","Dollars","81","thousands","3","v52367097","1.1.2","27137545","","","","0"
"2003-02","Canada","2016A000011124","Retail trade [44-45]","Seasonally adjusted","Dollars","81","thousands","3","v52367097","1.1.2","27622538","","","","0"
"2003-03","Canada","2016A000011124","Retail trade [44-45]","Seasonally adjusted","Dollars","81","thousands","3","v52367097","1.1.2","27275170","","","","0"
"2003-04","Canada","2016A000011124","Retail trade [44-45]","Seasonally adjusted","Dollars","81","thousands","3","v52367097","1.1.2","27176306","","","","0"
"2003-05","Canada","2016A000011124","Retail trade [44-45]","Seasonally adjusted","Dollars","81","thousands","3","v52367097","1.1.2","27484615","","","","0"
"2003-06","Canada","2016A000011124","Retail trade [44-45]","Seasonally adjusted","Dollars","81","thousands","3","v52367097","1.1.2","27569750","","","","0"
"2003-07","Canada","2016A000011124","Retail trade [44-45]","Seasonally adjusted","Dollars","81","thousands","3","v52367097","1.1.2","27707861","","","","0"
"2003-08","Canada","2016A000011124","Retail trade [44-45]","Seasonally adjusted","Dollars","81","thousands","3","v52367097","1.1.2","28020755","","","","0"
"2003-09","Canada","2016A000011124","Retail trade [44-45]","Seasonally adjusted","Dollars","81","thousands","3","v52367097","1.1.2","27841344","","","","0"
"2003-10","Canada","2016A000011124","Retail trade [44-45]","Seasonally adjusted","Dollars","81","thousands","3","v52367097","1.1.2","27825024","","","","0"
"2003-11","Canada","2016A000011124","Retail trade [44-45]","Seasonally adjusted","Dollars","81","thousands","3","v52367097","1.1.2","27777531","","","","0"
"2003-12","Canada","2016A000011124","Retail trade [44-45]","Seasonally adjusted","Dollars","81","thousands","3","v52367097","1.1.2","27704978","","","","0"
